_id,name,author,translator,artist,editor,publishing,year,series,collection,genre,weight,dimensions.length,dimensions.width,dimensions.height,rating,price,link
973239,Doctor Who. Last of the Gaderene,Gatiss Mark,,,,BBC books,2013,Doctor Who,,,226,218,130,20,10,3853,https://www.labirint.ru/books/973239/
1015386,Во тьме безмолвной под холмом,Чёрч Дэниел,Уманский Анатолий Анатольевич,Ильин Виталий,,Феникс,2024,Короли ночи,,Современная зарубежная проза,591,250,170,27,10,1282,https://www.labirint.ru/books/1015386/
973399,Guestbook. Ghost Stories,Shapton Leanne,,,,Particular Books,2019,,,,660,217,163,33,10,5655,https://www.labirint.ru/books/973399/
694446,Девочка с Земли,Булычев Кир,,Мигунов Евгений,Ким Елена Николаевна,Лабиринт,2023,Детская художественная литература,Иллюстрированная библиотека фантастики и приключений,,816,222,172,29,9.22,1198,https://www.labirint.ru/books/694446/
734664,Книга времени. Том 2. Семь монет антиквара,Прево Гийом,Филиппова Ирина,,,КомпасГид,2020,Книга времени,,,584,217,150,35,9.14,730,https://www.labirint.ru/books/734664/
641213,Сквозь зеркала. Книга 2. Тайны Полюса,Дабо Кристель,"Волевич Ирина, Рац Юлия Марковна",Гапайар Лоран,,КомпасГид,2020,Сквозь зеркала,,Молодежная литература,812,242,174,36,9.58,1130,https://www.labirint.ru/books/641213/
850426,Трилогия Нэнси Фармер. Комплект из 3 книг,Фармер Нэнси,Лихачева Светлана Борисовна,Бабич Григорий,,Волчок,2022,Комплекты,,,2890,221,157,115,10,4963,https://www.labirint.ru/books/850426/
567214,Миллион приключений,Булычев Кир,,Шахгелдян А.,,Искатель,2020,Школьная библиотека,,,368,221,148,17,7,359,https://www.labirint.ru/books/567214/
898774,The Great Book of King Arthur and His Knights of the Round Table,Matthews John,,Хоу Джон,,Harpercollins,2022,,,,1426,255,198,30,9.5,6055,https://www.labirint.ru/books/898774/
859610,Ересь Хоруса. Книга IX. Отметка Калта. Вулкан жив. Забытая империя,"Абнетт Дэн, Кайм Ник, Хейли Гай","Клингенберг Всеволод, Дубова А., Еремин Дмитрий",,Голдинг Лори,Фантастика,2022,The Horus Heresy,,Современная зарубежная проза,1738,245,175,60,10,1800,https://www.labirint.ru/books/859610/
936151,Девушка у обрыва. Имя для птицы. Комплект в 2-х томах,Шефнер Вадим Сергеевич,,"Щеглов Е., Мельников Е., Чижиков Виктор Александрович",,Престиж БУК,2023,Ретро библиотека приключений и научной фантастики,,Классическая отечественная проза,1480,207,135,75,10,3240,https://www.labirint.ru/books/936151/
948591,Лачуга должника. Сестра печали. Комплект в 2-х томах,Шефнер Вадим Сергеевич,,"Мельников Е., Костров Н.",,Престиж БУК,2023,,,Военный роман,1600,210,135,80,10,3240,https://www.labirint.ru/books/948591/
954697,Рубиновая звезда. Тайна Декабриста. Комплект в 2-х томах,Шагурин Николай Яковлевич,,"Фитингоф Георгий Петрович, Щеглов Михаил Михайлович, Бахтин Виктор Владимирович",,Престиж БУК,2023,Ретро библиотека приключений и научной фантастики,,Классическая отечественная проза,1602,205,140,85,0,3240,https://www.labirint.ru/books/954697/
968275,"Рассказы ""Черных Вдовцов"" . В 2-х томах",Азимов Айзек,Грузберг А.,Медведев А.,,Престиж БУК,2023,Ретро библиотека приключений и научной фантастики,,Современная зарубежная проза,1474,200,135,70,6.5,3240,https://www.labirint.ru/books/968275/
989954,Танец маленьких медведей. Очень маленький земной шар. Комплект в двух томах,Мифтахутдинов Альберт Валеевич,,Медведев А. Н.,,Престиж БУК,2023,Ретро библиотека приключений и научной фантастики,,,1434,206,133,73,10,3240,https://www.labirint.ru/books/989954/
1015997,"Русский щит, или Конец Большой игры","Федотов Дмитрий Станиславович, Плещеева Дарья",,,,Вече,2024,Новая библиотека приключений и научной фантастики,,Современная отечественная проза,408,205,132,23,0,732,https://www.labirint.ru/books/1015997/
839291,A Curse So Dark and Lonely. The Complete Cursebreaker Collection,Kemmerer Brigid,,,,Bloomsbury,2021,The Cursebreaker Series,,,1100,203,131,90,9.33,6787,https://www.labirint.ru/books/839291/
904635,The Mammoth Book of Cthulhu. New Lovecraftian Fiction,"Hannett Lisa L., Kiernan Caitlin R., Hodge Brian",,,,Robinson,2016,Mammoth Books,,,340,196,126,30,10,2934,https://www.labirint.ru/books/904635/
567237,Плутония,Обручев Владимир Афанасьевич,,Богачев Юрий Николаевич,,Нигма,2023,Страна приключений,,,1228,266,209,22,8.67,2282,https://www.labirint.ru/books/567237/
966661,The Liar of Red Valley,Goodwater Walter,,,,Solaris,2021,,,,476,225,145,35,9,2958,https://www.labirint.ru/books/966661/
656274,Сквозь зеркала. Книга 3. Память Вавилона,Дабо Кристель,"Волевич Ирина, Морозова Елена Вячеславовна",,Бобрецова Татьяна,КомпасГид,2020,Сквозь зеркала,,Молодежная литература,746,242,175,32,9.4,1130,https://www.labirint.ru/books/656274/
